,Value,Skill
0,40,JAVA
1,38,HTML
2,41,JAVASCRIPT
3,55,MYSQL
4,97,SQL SERVER
5,44,JQUERY
6,48,LINUX
7,4,AJAX
8,123,WINDOWS
9,124,WINDOWS SERVER
10,93,SOFTWARE DEVELOPMENT
11,115,VISUAL STUDIO
12,121,WEB DEVELOPMENT
13,75,PROGRAMMING
14,28,ECLIPSE
15,122,WEB SERVICES
16,52,MICROSOFT OFFICE
17,21,DATABASES
18,37,HIBERNATE
19,94,SOFTWARE ENGINEERING
20,77,PYTHON
21,66,OPERATING SYSTEMS
22,6,ANDROID
23,119,WEB APPLICATIONS
24,67,ORACLE
25,99,SUBVERSION
26,2,ACTIVE DIRECTORY
27,107,TROUBLESHOOTING
28,96,SPRING
29,71,PHOTOSHOP
30,59,NETWORK ADMINISTRATION
31,12,CCNA
32,87,SERVLETS
33,109,UNIX
34,53,MICROSOFT SQL SERVER
35,113,VISUAL BASIC
36,101,SYSTEM ADMINISTRATION
37,70,PERL
38,116,VMWARE
39,106,TOMCAT
40,125,WORDPRESS
41,98,STRUTS
42,50,MATLAB
43,20,DATABASE DESIGN
44,17,CORE JAVA
45,74,PROBLEM SOLVING
46,8,APACHE
47,43,JOOMLA
48,47,LINQ
49,120,WEB DESIGN
50,126,XHTML
51,22,DESIGN PATTERNS
52,80,ROUTERS
53,57,NET MVC
54,63,OBJECT ORIENTED DESIGN
55,68,ORACLE SQL
56,100,SWITCHES
57,92,SOFTWARE DESIGN
58,14,CISCO
59,89,SHELL SCRIPTING
60,114,VISUAL C
61,42,JDBC
62,45,JSON
63,15,COMPUTER HARDWARE
64,3,AGILE
65,33,FLASH
66,86,SERVERS
67,85,SECURITY
68,64,OBJECTIVE
69,81,ROUTING
70,76,PROJECT MANAGEMENT
71,88,SHAREPOINT
72,105,TESTING
73,84,SCRUM
74,62,NETWORK SECURITY
75,23,DHCP
76,58,NETBEANS
77,112,VIRTUALIZATION
78,56,NET AJAX
79,18,CRYSTAL REPORTS
80,102,TEAM LEADERSHIP
81,32,FIREWALLS
82,19,DATABASE ADMINISTRATION
83,39,ITIL
84,5,ALGORITHMS
85,0,ACCESS
86,31,EXCEL
87,90,SILVERLIGHT
88,1,ACTIONSCRIPT
89,29,EMBEDDED SYSTEMS
90,34,FLEX
91,11,BUSINESS INTELLIGENCE
92,9,APPLICATION DEVELOPMENT
93,83,RUBY ON RAILS
94,30,ENTITY FRAMEWORK
95,49,MAC OS X
96,36,HARDWARE
97,118,VOIP
98,13,CCNP
99,82,RUBY
100,69,OSPF
101,79,REQUIREMENTS ANALYSIS
102,26,DREAMWEAVER
103,35,GRAPHIC DESIGN
104,27,DRUPAL
105,10,BUSINESS ANALYSIS
106,54,MS PROJECT
107,46,JUNIT
108,51,MAVEN
109,24,DISASTER RECOVERY
110,65,OPENGL
111,73,POWERPOINT
112,103,TEAMWORK
113,78,RED HAT LINUX
114,110,UNIX SHELL SCRIPTING
115,111,USER INTERFACE DESIGN
116,117,VMWARE ESX
117,7,ANTIVIRUS
118,95,SOFTWARE INSTALLATION
119,127,XSLT
120,72,POSTGRESQL
121,104,TELECOMMUNICATIONS
122,60,NETWORK DESIGN
123,91,SOAP
124,61,NETWORK ENGINEERING
125,108,UBUNTU
126,25,DISTRIBUTED SYSTEMS
127,16,COMPUTER SCIENCE
