INDUSTRY,LOCATION,POSITION,SKILL
4,9,7,40
4,9,5,40
4,4,5,40
6,4,5,40
4,4,5,40
4,4,7,40
4,2,5,40
4,9,5,40
4,4,5,40
4,4,5,40
4,9,4,40
4,4,5,40
4,9,5,40
4,9,5,40
4,9,5,40
4,9,5,40
4,9,5,40
4,4,3,40
4,7,5,40
4,2,5,40
4,2,5,40
4,2,0,40
4,9,5,40
4,9,7,40
14,9,5,40
14,9,5,40
4,2,5,40
4,9,5,40
4,4,5,40
4,9,5,40
4,9,5,40
4,9,6,40
4,4,7,40
8,9,3,40
4,2,0,40
4,2,5,40
6,11,7,40
6,9,5,40
4,9,5,40
4,9,8,40
4,1,5,40
6,9,5,40
4,4,5,40
4,9,5,40
2,9,5,40
4,9,5,40
4,1,4,40
4,9,7,40
4,9,5,40
4,9,5,40
4,9,6,40
4,13,5,40
5,9,5,40
4,9,5,40
4,4,5,40
4,4,5,40
4,9,5,40
13,9,5,40
4,9,5,40
4,9,5,40
4,9,5,40
4,9,5,40
4,9,5,40
4,9,5,40
4,9,5,40
4,7,5,40
4,9,5,40
4,9,7,40
4,9,5,40
4,9,5,40
4,6,5,40
4,9,5,40
4,9,8,40
14,9,5,40
4,4,5,40
4,1,5,40
4,9,5,40
4,9,5,40
4,13,5,40
5,9,5,40
4,9,4,40
4,1,5,40
4,9,5,40
4,9,5,40
0,9,7,40
4,9,5,40
4,9,5,40
4,9,5,40
4,11,5,40
4,1,3,40
4,9,1,40
4,9,5,40
4,9,5,40
4,9,5,40
4,9,5,40
4,9,5,40
4,9,4,40
4,9,7,40
4,9,5,40
4,9,4,40
4,9,5,40
4,0,7,40
4,9,5,40
4,1,5,40
4,0,5,40
4,13,8,40
4,10,5,40
4,7,5,40
4,4,5,40
4,9,5,40
4,9,5,40
4,9,4,40
4,10,5,40
4,9,5,40
4,9,5,40
4,9,5,40
4,9,8,40
4,13,8,40
4,8,1,40
4,0,5,40
4,1,5,40
4,9,5,40
4,9,0,40
4,8,5,40
4,9,5,40
6,9,5,40
4,4,5,40
4,9,8,40
4,4,7,40
4,9,7,40
4,4,5,40
4,4,5,40
13,9,5,40
14,9,5,40
4,9,5,40
4,4,5,40
4,5,5,40
4,9,5,40
4,5,7,40
4,1,5,40
4,4,5,40
6,5,3,40
4,9,5,40
4,3,5,40
4,9,5,40
4,2,5,40
4,1,5,40
4,9,5,40
4,9,5,40
4,9,5,40
4,3,5,40
4,9,5,40
14,9,5,40
